Month,Field Production of Crude Oil (Thousands of Barrels per Day),,,,,,
"May 1963,75",64,,,,,,
"Apr 1963,76",9,,,,,,
"Mar 1963,75",58,,,,,,
"Feb 1963,75",87,,,,,,
"Jan 1963,73",4,,,,,,
"Dec 1962,73",81,,,,,,
"Nov 1962,74",41,,,,,,
"Oct 1962,73",67,,,,,,
"Sep 1962,73",20,,,,,,
"Aug 1962,72",34,,,,,,
"Jul 1962,72",26,,,,,,
"Jun 1962,72",57,,,,,,
"May 1962,71",93,,,,,,
"Apr 1962,73",91,,,,,,
"Mar 1962,73",76,,,,,,
"Feb 1962,74",67,,,,,,
"Jan 1962,73",47,,,,,,
"Dec 1961,73",11,,,,,,
"Nov 1961,71",52,,,,,,
"Oct 1961,71",27,,,,,,
"Sep 1961,69",95,,,,,,
"Aug 1961,71",4,,,,,,
"Jul 1961,69",58,,,,,,
"Jun 1961,71",3,,,,,,
"May 1961,71",47,,,,,,
"Apr 1961,73",28,,,,,,
"Mar 1961,74",71,,,,,,
"Feb 1961,72",96,,,,,,
"Jan 1961,72",10,,,,,,
"Dec 1960,71",50,,,,,,
"Nov 1960,71",33,,,,,,
"Oct 1960,69",58,,,,,,
"Sep 1960,69",71,,,,,,
"Aug 1960,69",40,,,,,,
"Jul 1960,68",60,,,,,,
"Jun 1960,69",39,,,,,,
"May 1960,68",48,,,,,,
"Apr 1960,70",38,,,,,,
"Mar 1960,71",28,,,,,,
"Feb 1960,72",41,,,,,,
"Jan 1960,72",30,,,,,,
"Dec 1959,71",93,,,,,,
"Nov 1959,69",82,,,,,,
"Oct 1959,69",11,,,,,,
"Sep 1959,68",57,,,,,,
"Aug 1959,67",66,,,,,,
"Jul 1959,67",84,,,,,,
"Jun 1959,70",83,,,,,,
"May 1959,72",20,,,,,,
"Apr 1959,72",56,,,,,,
"Mar 1959,71",88,,,,,,
"Feb 1959,71",94,,,,,,
"Jan 1959,72",23,,,,,,
"Dec 1958,71",38,,,,,,
